id,time,x,y,z,z_smo,y_smo,t1,tVal,bin,windowSize,run_id,smo_prob,bin_hmm,run_idle_id,numbers,recipe_step
120,630.632S,2.47,0.96,0.43,0.4332153397857598,0.9598320059936198,1970-01-01T00:00:00Z,-20,0,,1,3.0901730879663255e-4,idle,1,1085,idle 0
121,630.636S,2.47,0.96,0.43,0.43321478679948205,0.9598323352811526,1970-01-01T00:00:00Z,-20,0,,1,3.0900625846230886e-4,idle,1,1085,idle 0
122,630.64S,2.47,0.96,0.43,0.43321424679531634,0.9598326649463427,1970-01-01T00:00:00Z,-20,0,,1,3.0899574197760734e-4,idle,1,1085,idle 0
123,630.643S,2.47,0.96,0.43,0.43321385032993664,0.9598329124522579,1970-01-01T00:00:00Z,-20,0,,1,3.0898705924467675e-4,idle,1,1085,idle 0
124,630.647S,2.47,0.96,0.43,0.4332133331174011,0.9598332428150893,1970-01-01T00:00:00Z,-20,0,,1,3.0897697217626064e-4,idle,1,1085,idle 0
125,630.651S,2.47,0.96,0.43,0.433212828970331,0.9598335735975687,1970-01-01T00:00:00Z,-20,0,,1,3.0896665112257885e-4,idle,1,1085,idle 0
126,630.656S,2.47,0.96,0.43,0.43321221720597963,0.9598339876890587,1970-01-01T00:00:00Z,-20,0,,1,3.089551017399894e-4,idle,1,1085,idle 0
127,630.66S,2.47,0.96,0.43,0.4332117425670282,0.9598343194715732,1970-01-01T00:00:00Z,-20,0,,1,3.089453548226604e-4,idle,1,1085,idle 0
128,630.664S,2.47,0.96,0.43,0.43321128109205065,0.9598346517233605,1970-01-01T00:00:00Z,-20,0,,1,3.089363308201564e-4,idle,1,1085,idle 0
129,630.667S,2.47,0.96,0.43,0.43321094364290863,0.9598349012293463,1970-01-01T00:00:00Z,-20,0,,1,3.089289460831536e-4,idle,1,1085,idle 0
130,630.671S,2.47,0.96,0.43,0.43321050527781907,0.9598352343391023,1970-01-01T00:00:00Z,-20,0,,1,3.089204436281078e-4,idle,1,1085,idle 0
